"Beer, ale, and other malt beverages away from home",2012,153.639692308
"Cakes, cupcakes, and cookies",1997,179.22
"Cakes, cupcakes, and cookies",1998,181.164
"Cakes, cupcakes, and cookies",1999,184.996
"Cakes, cupcakes, and cookies",2000,187.904
"Cakes, cupcakes, and cookies",2001,192.016
"Cakes, cupcakes, and cookies",2002,196.656
"Cakes, cupcakes, and cookies",2003,202.752
"Cakes, cupcakes, and cookies",2004,206.38
"Cakes, cupcakes, and cookies",2005,209.792
"Cakes, cupcakes, and cookies",2006,214.22
"Cakes, cupcakes, and cookies",2007,221.72668
"Cakes, cupcakes, and cookies",2008,239.87724
"Cakes, cupcakes, and cookies",2009,250.65596
"Cakes, cupcakes, and cookies",2010,251.65252
"Cakes, cupcakes, and cookies",2011,255.9496
"Cakes, cupcakes, and cookies",2012,266.2056
"Clocks, lamps, and decorator items",1997,119.776923077
"Clocks, lamps, and decorator items",1998,120.153846154
"Clocks, lamps, and decorator items",1999,116.792307692
"Clocks, lamps, and decorator items",2000,111.723076923
"Clocks, lamps, and decorator items",2001,107.484615385
"Clocks, lamps, and decorator items",2002,103.284615385
"Clocks, lamps, and decorator items",2003,96.1769230769
"Clocks, lamps, and decorator items",2004,91.4384615385
"Clocks, lamps, and decorator items",2005,88.0307692308
"Clocks, lamps, and decorator items",2006,79.5846153846
"Clocks, lamps, and decorator items",2007,73.6036153846
"Clocks, lamps, and decorator items",2008,69.8539230769
"Clocks, lamps, and decorator items",2009,67.1917692308
"Clocks, lamps, and decorator items",2010,62.8623846154
"Clocks, lamps, and decorator items",2011,59.4756153846
"Clocks, lamps, and decorator items",2012,56.0987692308
"Commodities less food, energy, and used cars and trucks",1997,142.5
"Commodities less food, energy, and used cars and trucks",1998,143.344
"Commodities less food, energy, and used cars and trucks",1999,144.28
"Commodities less food, energy, and used cars and trucks",2000,144.776
"Commodities less food, energy, and used cars and trucks",2001,144.984
"Commodities less food, energy, and used cars and trucks",2002,143.856
"Commodities less food, energy, and used cars and trucks",2003,141.6
"Commodities less food, energy, and used cars and trucks",2004,141.024
"Commodities less food, energy, and used cars and trucks",2005,141.168
"Commodities less food, energy, and used cars and trucks",2006,141.52
"Commodities less food, energy, and used cars and trucks",2007,141.249
"Commodities less food, energy, and used cars and trucks",2008,141.632
"Commodities less food, energy, and used cars and trucks",2009,144.24424
"Commodities less food, energy, and used cars and trucks",2010,144.35664
"Commodities less food, energy, and used cars and trucks",2011,145.84112
"Commodities less food, energy, and used cars and trucks",2012,147.74048
"Cosmetics, perfume, bath, nail preparations and implements",1997,151.7
"Cosmetics, perfume, bath, nail preparations and implements",1998,159.284615385
"Cosmetics, perfume, bath, nail preparations and implements",1999,165.292307692
"Cosmetics, perfume, bath, nail preparations and implements",2000,166.784615385
"Cosmetics, perfume, bath, nail preparations and implements",2001,168.123076923
"Cosmetics, perfume, bath, nail preparations and implements",2002,167.184615385
